record_id,aspect_index,category,parameter,sentiment,confidence,phrase_original,phrase_english,focus_model,is_wow_factor,review_flag
ef641b13-9b88-42fc-83fd-fd873f054c4b,0,Brand Perception,Brand Recognition,Negative,0.9,so sánh v?i M6 thì ch?c ch? vài tr?m ng??i bi?t,compare with M6 only a few hundred people know,BYD M6,False,OK
b578cae2-6eac-4b66-8d8b-44743810dc22,0,Other,New Model Introduction,Neutral,0.9,innova cross b?n G m?i ra,new Innova Cross G version,Innova,False,OK
ef641b13-9b88-42fc-83fd-fd873f054c4b,0,Brand Perception,Brand Awareness,Positive,0.95,so sánh v?i Innova Cross thì hàng ch?c nghìn ng??i bi?t,"compare with Innova Cross, tens of thousands know it",Toyota Innova,False,OK
6a596c05-69d1-4714-a98e-1aa148816ee7,0,Brand Perception,Brand Trust,Positive,0.9,Khách quan là ch?t v?i tao,Objectivity is dead with me,Limogreen,False,OK
66388d4a-8b68-408c-a696-27d3af563605,0,Comfort & Space,Interior Comfort,Negative,0.95,nội thất có cái gì đâu mà bảo thoải mái,the interior has nothing to call comfortable,Limogreen,False,OK
66388d4a-8b68-408c-a696-27d3af563605,1,New Tech,Support Functions,Negative,0.9,cũng có cái chức năng hỗ trợ gì đâu mà bảo tin cậy,doesn't have any support functions to be called reliable,Limogreen,False,OK
cccc693a-0f39-44f0-aeb8-28883a8a30a0,0,Other,Durability,Positive,0.9,sự bền bỉ,durability,Innova,False,OK
cccc693a-0f39-44f0-aeb8-28883a8a30a0,1,Other,Practicality,Positive,0.9,tiện dụng,practicality,Innova,False,OK
53a9f148-4701-458c-acef-26b9b9eebf6a,0,Other,Market Availability,Neutral,0.8,Innova Cross v? Vi?t Nam cu?i n?m 2023 bác ah,"Innova Cross in Vietnam at the end of 2023, sir.",Toyota Innova,False,OK
fa391ed8-a5f3-4518-87d4-a84bd7de0244,0,Value Perception,Price,Positive,0.9,T?m giá này,At this price,BYD M6,False,OK
fa391ed8-a5f3-4518-87d4-a84bd7de0244,1,Styling / Design,Exterior Design,Positive,0.85,chi?c BYD M6 th?y sang h?n,the BYD M6 looks more luxurious,BYD M6,False,OK
b578cae2-6eac-4b66-8d8b-44743810dc22,0,Other,New Model Variant,Neutral,0.5,innova cross b?n G m?i,new Innova Cross G version,Toyota Innova,False,LOW_CONFIDENCE
5b257916-9ba3-4503-be68-17e9b34e529e,0,Styling / Design,Color Options,Negative,0.95,Màu phèn quá,Color is too light,Innova,False,OK
bac3bbc4-ab91-40a7-b2bb-ca9ab6e4e85a,0,Comfort & Space,Cabin Space,Neutral,0.9,gia ?ình 5 ng??i,family of 5 people,Innova,False,OK
bac3bbc4-ab91-40a7-b2bb-ca9ab6e4e85a,1,Value Perception,Competitor Comparison,Neutral,0.8,phân vân con này và CRV,torn between this and CRV,Innova,False,OK
ff12484d-6aec-4fff-9544-3fae1e33ebcb,0,Other,General,Neutral,0.0,,,Innova,False,OK
0bb69400-286b-4b82-aab4-f7a91a2b7b07,0,Other,General,Neutral,0.0,,,Innova,False,OK
71351742-c370-43e1-875b-7b45847a6e9d,0,Other,General Impression,Neutral,0.9,làm video Innova bản G,make a video about Innova G version,Toyota Innova,False,OK
6b1a1dc3-82c9-4e79-976b-55062296586d,0,Styling / Design,Interior Design,Negative,0.9,chê nội thất,criticize interior,Limogreen,False,OK
6b1a1dc3-82c9-4e79-976b-55062296586d,1,Brand Perception,Brand Message Consistency,Negative,0.8,"bao biện là xe chạy dịch vụ, giờ reviewer lại nói là dành cho gia đình","justify as service car, now reviewer says it's for family",Limogreen,False,OK
6a07fc32-2078-44be-828b-23fdddac956e,0,Powertrain / Performance,Hybrid Technology,Positive,0.9,thế giới họ chạy hybrid cả gần 30 năm nay nữa rồi,the world has been running hybrids for nearly 30 years,Innova,False,OK
53a9f148-4701-458c-acef-26b9b9eebf6a,0,Other,Launch Timeline,Neutral,0.9,cu?i n?m 2023,end of 2023,Innova,False,OK
b535d6d5-0c6e-42bf-9f04-c6c495bd6ca6,0,Styling / Design,Hood Material,Negative,0.9,N?p capo b?ng nh?a,Plastic hood,Limogreen,False,OK
b535d6d5-0c6e-42bf-9f04-c6c495bd6ca6,1,Comfort & Space,Leg Room,Negative,0.95,hàng gh? 3 d??i chân g? lên ?? chân s? khó ch?u,Third-row foot bump makes it uncomfortable,Limogreen,False,OK
b535d6d5-0c6e-42bf-9f04-c6c495bd6ca6,2,Comfort & Space,Trunk Space,Negative,0.95,C?p không ?? ???c Vali,Trunk cannot fit a suitcase,Limogreen,False,OK
8a59e58a-0010-426f-a928-8f83e3ea57f9,0,Brand Perception,Brand Image,Negative,0.6,d? s? dân mình l?i không chu?ng bác,our people don't prefer you,Innova,False,LOW_CONFIDENCE
da666aa9-3acb-44ef-86d1-045bf0a23232,0,Powertrain / Performance,Ride Quality,Positive,0.8,ngon l?m,very good,Innova,False,OK
0d2b63b6-db7e-47fa-9b26-c2fff270d84a,0,Other,General Impression,Positive,0.4,Thanks tipcar.m?i colip a làm r?t th?t r? hi?u.,Thanks tipcar. I understand very clearly now.,Innova,False,LOW_CONFIDENCE
42a3917a-d7bc-442c-bca6-319a36023a34,0,Styling / Design,Exterior Design,Positive,0.9,cái xe vin có xấu đến mấy,that Vin car is ugly to the point,Limogreen,False,OK
fa391ed8-a5f3-4518-87d4-a84bd7de0244,0,Styling / Design,Exterior Design,Negative,0.9,chi?c BYD M6 th?y sang h?n,the BYD M6 looks more luxurious,Limogreen,False,OK
fa391ed8-a5f3-4518-87d4-a84bd7de0244,1,Value Perception,Price,Negative,0.9,T?m giá này,At this price,Limogreen,False,OK
43f9099f-f25a-442d-9a97-07264ac8d5d8,0,Styling / Design,Exterior Design,Positive,0.9,Xe đẹp,The car is beautiful,Innova,False,MIXED_SENTIMENT
43f9099f-f25a-442d-9a97-07264ac8d5d8,1,Styling / Design,Wheel Design,Negative,0.95,mâm 17 nhỏ quá,17-inch wheels too small,Innova,False,MIXED_SENTIMENT
196d9bbf-6e7d-4e70-a997-a2d78cc4e57d,0,Powertrain / Performance,Acceleration,Neutral,0.9,?ánh giá thêm th?i gian t?ng t?c t? 50 ??n 100km/h,evaluate acceleration time from 50 to 100 km/h,Innova,False,OK
ba6d4056-da25-4764-b123-ff16c9a4c77b,0,Styling / Design,Interior Design,Negative,0.95,t?i cái con vios hay th?m chí Wigo gh? còn có b? mâm nhìn tr? trung hi?n ??i h?n con này,the Vios or even Wigo have a more modern steering wheel and dashboard than this car,Innova,False,OK
0a989232-b140-4b4d-874d-cbc5e1f19c6b,0,Other,General Impression,Positive,0.7,"Khi nào có xe mới, em sẽ làm video ngay ạ.","When there is a new car, I will make a video right away.",Innova,True,OK
e63965a0-9bc6-4999-a51e-a26969114990,0,Other,General Impression,Positive,0.9,chiếc xe rất hay về mọi mặt,the car is very good in every aspect,Innova,False,OK
dbb6fcb0-659d-4885-8b6d-a084c7ffef0b,0,Other,General,Neutral,0.0,,,Innova,False,OK
2893bbca-9939-44f8-8347-ee47e9156b20,0,Comfort & Space,Interior Design,Positive,0.75,mong ch? nhi?u h?n v? n?i th?t c?a limo.,look forward to more about the interior of the limo,BYD M6,False,OK
67e01abc-b3c9-4515-9008-dbed53c5756e,0,Safety & ADAS,ADAS Features,Negative,0.95,Gần 1 tỉ mà không có ADAS,Nearly 1 billion but no ADAS,Innova,False,OK
67e01abc-b3c9-4515-9008-dbed53c5756e,1,Value Perception,Price,Negative,0.9,Gần 1 tỉ mà không có ADAS,Nearly 1 billion but no ADAS,Innova,False,OK
6601df0f-9d1e-4479-8590-e773cf6a42e5,0,Comfort & Space,Cabin Space,Positive,0.95,Cu?i cùng hàng nào c?ng r?ng,"In the end, every row is spacious",Limogreen,False,OK
4475d083-5b03-4d8b-808a-b4c0d98dd8f0,0,Brand Perception,Brand Image,Positive,0.9,nhà vua bình dân,king of the common people,Innova,False,OK
4475d083-5b03-4d8b-808a-b4c0d98dd8f0,1,Value Perception,Value for Money,Positive,0.9,?áng ??ng ti?n bát g?o,worth every penny,Innova,False,OK
4475d083-5b03-4d8b-808a-b4c0d98dd8f0,2,Styling / Design,Exterior Design,Positive,0.8,??ng c?p,classy,Innova,False,OK
3490f66e-8d72-4664-9c72-ff4625bf2ed1,0,Comfort & Space,Seat Comfort,Positive,0.9,Innova 8 ghê là s??ng nh?t,Innova 8 is extremely comfortable,Innova,False,OK
7201eb77-51da-42b1-bef4-ef946e32e4a3,0,Other,General Impression,Positive,0.9,rất thích xe này rất vừa miệng,"really like this car, very suitable",Toyota Innova,False,MIXED_SENTIMENT
7201eb77-51da-42b1-bef4-ef946e32e4a3,1,Comfort & Space,Second Row Capacity,Negative,0.95,hàng ghế thứ 2 phần giữa 2 ghế chỉ có chỗ để tay k ngồi 3 được so với ghế inova cũ,"second row middle between two seats only has armrest, cannot sit 3 compared to old Innova seats",Toyota Innova,False,MIXED_SENTIMENT
a545d4eb-22bb-47f3-b309-42c9e7b5f189,0,Other,General,Neutral,0.0,,,Innova,False,OK
a2c28d14-cbd3-412a-a693-00531a828dce,0,Value Perception,Competitor Comparison,Positive,0.9,đừng bao giờ so sánh với các mẫu MPV cỡ nhỏ... giá của nó có hơn 500 - 600... nó rất khập khiễng,never compare with small MPV models... its price is over 500-600... it's very uneven,Limogreen,False,OK
71def236-365c-45fa-b209-1debe9408b14,0,Other,General,Neutral,0.0,,,Innova,False,OK
110b3a78-16ff-4987-8757-6fcb1d4a5fea,0,Other,General Impression,Positive,0.95,K?t e Innova này quá,I really like this Innova,Innova,False,OK
110b3a78-16ff-4987-8757-6fcb1d4a5fea,1,Value Perception,Value for Money,Positive,0.9,giá quá h?p lý,price is very reasonable,Innova,False,OK
779542e8-dcb9-439d-ba64-2ab7f285c060,0,Value Perception,Competitor Comparison,Positive,0.9,desti còn k innova,Desti is still not as good as Innova,Toyota Innova,False,OK
14669960-8f30-4554-bb9a-51008e726b2c,0,Other,Chassis Type,Negative,0.7,Còn innova cross bây gi? là li?n kh?i c?,Now Innova Cross is monocoque?,Innova,False,OK
3449f0e6-5b44-4df6-a7b5-bc41d8752315,0,Value Perception,Value for Money,Positive,0.9,provides more value,provides more value,Limogreen,False,OK
3449f0e6-5b44-4df6-a7b5-bc41d8752315,1,Comfort & Space,Cabin Space,Positive,0.95,more space,more space,Limogreen,False,OK
3449f0e6-5b44-4df6-a7b5-bc41d8752315,2,Powertrain / Performance,Energy Consumption,Positive,0.95,better fuel economy,better fuel economy,Limogreen,False,OK
3449f0e6-5b44-4df6-a7b5-bc41d8752315,3,Value Perception,Maintenance Cost,Positive,0.95,lower maintenance cost,lower maintenance cost,Limogreen,False,OK
3449f0e6-5b44-4df6-a7b5-bc41d8752315,4,Powertrain / Performance,Driving Performance,Positive,0.9,better driving performance,better driving performance,Limogreen,False,OK
3449f0e6-5b44-4df6-a7b5-bc41d8752315,5,Other,Water Wading,Positive,0.8,ability to wade through deep water puddles,ability to wade through deep water puddles,Limogreen,False,OK
17e84bb0-8925-4ab7-b264-660b27bddd6e,0,Value Perception,Battery Replacement Cost,Negative,0.9,thay pin m?t kho?ng 200 tri?u ??n 300 tri?u,replacing the battery costs about 200 to 300 million,Innova,False,MIXED_SENTIMENT
17e84bb0-8925-4ab7-b264-660b27bddd6e,1,Comfort & Space,Ride Quality,Positive,0.85,xe này ch?y êm ái,this car runs smoothly,Innova,False,MIXED_SENTIMENT
17e84bb0-8925-4ab7-b264-660b27bddd6e,2,Powertrain / Performance,Energy Consumption,Positive,0.8,không ?n nh? xe x?ng thông th??ng,does not consume like a regular gasoline car,Innova,False,MIXED_SENTIMENT
89b59427-dc6d-406c-bd1d-e4fb5905f783,0,Safety & ADAS,ADAS Features,Negative,0.8,c?t b? nh?ng trang b? ADAS,cut ADAS features,Innova,False,OK
89b59427-dc6d-406c-bd1d-e4fb5905f783,1,Value Perception,Value for Money,Negative,0.9,bán giá 730,sell at price 730,Innova,False,OK
4e52146b-2bc0-4b3f-9c25-2f08bcf86da2,0,Value Perception,Competitor Comparison,Negative,0.8,Tipcar có ưu ái cho limo quá,Tipcar is too favorable to Limogreen,Limogreen,False,OK
4e52146b-2bc0-4b3f-9c25-2f08bcf86da2,0,Value Perception,Competitor Comparison,Positive,0.9,phải so sánh với m6 mới công bằng,should compare with M6 to be fair,BYD M6,False,OK
4e52146b-2bc0-4b3f-9c25-2f08bcf86da2,1,Other,Segment Classification,Positive,0.8,so với mấy xe xăng thì đâu có cùng phân khúc,comparing with petrol cars is not the same segment,BYD M6,False,OK
a8a22185-8b96-4b86-b108-82f2e64cfd30,0,Other,Review Credibility,Positive,0.4,ăn tiền review ng?a h?t c? tai,"paid to review like horses, all ears full",Limogreen,False,LOW_CONFIDENCE
22a4d2b1-e0b7-42b4-bf53-9a6ec49e5af9,0,Other,Overall Impression,Positive,0.9,K?t xe Toyota innova Cross,Like the Toyota Innova Cross,Innova,False,MIXED_SENTIMENT
22a4d2b1-e0b7-42b4-bf53-9a6ec49e5af9,1,Value Perception,Price,Negative,0.9,ch?a ?? ti?n ?? mua,not enough money to buy,Innova,False,MIXED_SENTIMENT
c9964180-81a9-42fe-9796-af5af3618dd5,0,Other,General,Neutral,0.0,,,Limogreen,False,OK
b8780dec-e8e0-4832-8818-0714046543ae,0,Value Perception,Competitor Comparison,Negative,0.95,t?m giá này thì mua con Destinator ch? ch? t?i gì mua con này c?,"At this price, buy a Destinator, why wait to buy this one?",Limogreen,False,OK
ec9eb051-8420-47df-a413-89a2329325be,0,Comfort & Space,Cabin Space,Positive,0.9,r?ng tho?i mái,spacious and comfortable,Innova,False,MIXED_SENTIMENT
ec9eb051-8420-47df-a413-89a2329325be,1,Powertrain / Performance,Fuel Economy,Positive,0.9,ti?t ki?m,fuel-efficient,Innova,False,MIXED_SENTIMENT
ec9eb051-8420-47df-a413-89a2329325be,2,Comfort & Space,Suspension,Negative,0.85,treo c?ng h?n,stiffer suspension,Innova,False,MIXED_SENTIMENT
ec9eb051-8420-47df-a413-89a2329325be,3,Powertrain / Performance,Handling,Negative,0.85,lái hay h?n,better driving feel,Innova,False,MIXED_SENTIMENT
ef641b13-9b88-42fc-83fd-fd873f054c4b,0,Value Perception,Competitor Comparison,Positive,0.9,so sánh v?i Innova Cross thì hàng ch?c nghìn ng??i bi?t,"compared to Innova Cross, tens of thousands of people know",Limogreen,False,OK
a2c28d14-cbd3-412a-a693-00531a828dce,0,Value Perception,Competitor Comparison,Positive,0.9,Đừng bao giờ so sánh với các mẫu MPV cỡ nhỏ,Never compare with small MPV models,Toyota Innova,False,OK
84c176ab-70db-4b3a-808b-b055eed8ad94,0,Value Perception,Competitor Comparison,Neutral,0.8,So sánh giúp em v?i con Mux 2026 b?n full ???c không ông anh ??ng h??ng?,Please help me compare with the full version of the 2026 Mux,Innova,False,OK
a16b91fb-c92b-434c-8526-ef73b319cde2,0,Other,General,Neutral,0.0,,,Innova,False,OK
b865d2d7-917e-44a9-ba4d-000f4539aa7f,0,Brand Perception,Brand Trust,Negative,0.8,nhận tiền PR của Vinfast cho con xe Limo này,received PR money from Vinfast for this Limo car,Limogreen,False,OK
11ccb9ed-4396-42dc-a962-f16ec53a42c0,0,Powertrain / Performance,Transmission,Negative,0.95,CVT mà xe 7;ch? ko h?p lí,CVT on a 7-seater? not reasonable,Innova,False,OK
fd9f140f-2de3-4164-adfa-92a76723282a,0,Other,General,Neutral,0.0,,,Innova,False,OK
22619681-b669-4776-8105-4c8efdd96ddb,0,Powertrain / Performance,Hybrid System,Positive,0.95,Innova hybrid HEV tuy?t tác,Innova hybrid HEV is a masterpiece,Toyota Innova,True,OK
22619681-b669-4776-8105-4c8efdd96ddb,1,Value Perception,Competitor Comparison,Positive,0.9,không có cái xe nào trên th? tr??ng=nà có th? hay h?n ???c nó ?âu,no car on the market can be better than it,Toyota Innova,True,OK
ef31abcf-ea9f-44fc-8457-003052caf645,0,Value Perception,Warranty,Positive,0.9,?c b?o hành 7 n?m,gets 7-year warranty,Innova,False,OK
ef31abcf-ea9f-44fc-8457-003052caf645,1,Brand Perception,Brand Trust,Positive,0.85,con Prius ch?y mãi ko h?ng pin,the Prius runs forever without battery failure,Innova,False,OK
ef31abcf-ea9f-44fc-8457-003052caf645,2,Safety & ADAS,Platform Safety,Positive,0.9,con này là TNGA,this car is TNGA,Innova,False,OK
e92e9921-a0ff-4391-a69b-ecc8d3af7372,0,Other,General,Neutral,0.0,,,Innova,False,OK
d054cfaf-c166-42ab-9725-1a5f90d553c5,0,Value Perception,Price,Neutral,0.9,Xe bao nhiêu tiền à em,"How much is the car, dear?",Innova,False,OK
7afa36bf-0c42-43a6-8772-d8f3a9ccc1f5,0,Powertrain / Performance,Transmission,Positive,0.9,"Nó là Diect CVT ch? ko ph?i CVT th??ng, có bánh r?ng lúc kh?i ??ng là ?úng r?i","It's a Direct CVT, not a regular CVT, having gears at startup is correct",Innova,False,OK
28e7ee3c-91fa-4dd6-89c5-d4a47726080d,0,Comfort & Space,Suspension,Positive,0.9,cái treo sau ?a liên k?t,multi-link rear suspension,Limogreen,False,OK
28e7ee3c-91fa-4dd6-89c5-d4a47726080d,1,Value Perception,Competitor Comparison,Positive,0.85,?n ??t các m?u xe d?ch v? cùng phân khúc,defeated other service vehicles in the same segment,Limogreen,False,OK
ac399ebe-c976-48d1-839c-6e1d200be0bd,0,Value Perception,Local Suitability,Positive,0.95,quá phù hợp với điều kiện VN,very suitable for Vietnam conditions,Toyota Innova,True,OK
ac399ebe-c976-48d1-839c-6e1d200be0bd,1,Value Perception,Competitor Comparison,Positive,0.95,cho mấy ông kia điên đảo,drive those guys crazy,Toyota Innova,True,OK
6b7fbdb9-e829-4a94-9c9f-d115131da882,0,Powertrain / Performance,Transmission,Neutral,0.6,không ???c nh? s? MT hay AT,not sure if MT or AT,Innova,False,LOW_CONFIDENCE
6b7fbdb9-e829-4a94-9c9f-d115131da882,1,Safety & ADAS,Braking System,Neutral,0.5,hãm ???c,brake ok,Innova,False,LOW_CONFIDENCE
e934f90e-e070-402e-8b24-b395757099d4,0,Value Perception,Maintenance Cost,Negative,0.8,phí thay pin đắt không a,"Battery replacement cost is expensive, right?",Innova,False,OK
35fdca60-4f8c-4ab0-bbb1-591f37c5783f,0,Value Perception,Price,Positive,0.6,bao ti?n th? b?n tháng 12 cùng c?ng ??nh mua e nó,plan to buy it in December after asking about price,Innova,False,LOW_CONFIDENCE
c4ac71cb-dcdc-4b24-8a1c-b0296d567698,0,Styling / Design,Sunroof,Neutral,0.8,k c?n c?a s? tr?i,don't need sunroof,Limogreen,False,OK
c4ac71cb-dcdc-4b24-8a1c-b0296d567698,1,Safety & ADAS,Parking Sensor,Negative,0.9,c?n thêm c?m bi?n sau và tr??c,need to add front and rear sensors,Limogreen,False,OK
cff26897-67a0-4b32-b011-edab6ffb0efd,0,Other,General Impression,Positive,0.9,Thấy con Innova cũng lành,See that Innova is also good,Innova,False,OK
cff26897-67a0-4b32-b011-edab6ffb0efd,1,Comfort & Space,Seat Recline,Positive,0.95,lại có chế độ ngả ghế ra nằm,also has seat recline mode to lie down,Innova,False,OK
5dc21c5c-cd4b-4c6f-9846-372a21e9ff19,0,Comfort & Space,Cabin Space,Positive,0.95,r?ng rãi ai c?ng khoái,"spacious, everyone likes it",Toyota Innova,False,OK
5dc21c5c-cd4b-4c6f-9846-372a21e9ff19,1,Powertrain / Performance,Engine Durability,Positive,0.95,máy c?a nhà tô r?t b?n b? không h?ng v?t,"Toyota's engine is very durable, no minor issues",Toyota Innova,False,OK
8da8ff37-0a12-4eae-97d7-d621153d4904,0,New Tech,Kick Sensor,Negative,0.95,sao innova cross HEV lại chưa kịp làm kick sensor như các model khác nhỉ,why hasn't the Innova Cross HEV gotten a kick sensor like other models,Innova,False,MIXED_SENTIMENT
8da8ff37-0a12-4eae-97d7-d621153d4904,1,Brand Perception,Brand Image,Positive,0.85,Thị trường Vietnam là mê & sùng bái innova lắm mà,The Vietnamese market loves and worships the Innova,Innova,False,MIXED_SENTIMENT
f60849de-0e47-4062-90ba-8b7af181529c,0,Comfort & Space,Seat Comfort,Negative,0.7,hàng gh? 2 v? làm l?i b?n 2 gh? ?c k bác ?,"Second row seats? Remake a 2-seat version? Sucks, bro?",Innova,False,OK
cd464e29-1938-4968-a185-b2655b117076,0,Value Perception,Maintenance Cost,Negative,0.3,L?p to m?i l?n thay ti?n chênh l?ch cao l?m nha,Big tires each time replacement cost difference is very high,Innova,False,LOW_CONFIDENCE
49adcd1b-79f0-4046-b93b-24c546c278ca,0,Comfort & Space,NVH,Positive,0.7,kêu váng h?t c? ??u,people complain of headaches,Innova,False,OK
454ffe6e-31c5-4812-b809-39807491f7c5,0,Safety & ADAS,ADAS Features,Negative,0.9,Còn thiếu phum adas nữa là ok,"Still missing ADAS features, then it's okay",Innova,False,OK
245b4edc-754f-49db-bf56-932c0d3cf9e0,0,Value Perception,Competitor Comparison,Positive,0.9,?n h?n fotuner 2021 AT,Better than Fortuner 2021 AT,Innova,False,OK
e9c892ca-b2e3-48a3-8e9b-cfd20f18b512,0,Value Perception,Maintenance Cost,Neutral,0.9,Chi phí thay pin s? tùy thu?c vào t?ng th?i ?i?m và chính sách c?a hãng n?a bác ?. Nh?ng bây gi? t?m 60-70tr ?.,"Battery replacement cost depends on time and company policy, but currently around 60-70 million VND.",BYD M6,False,OK
3d16dfe6-d17a-46f1-aec9-234c262cf42e,0,Brand Perception,Brand Image,Negative,0.7,Qu?ng cáo quá qu?ng cáo luôn!?,Too much advertising!,Innova,False,OK
14669960-8f30-4554-bb9a-51008e726b2c,0,Other,Body Structure,Negative,0.9,Còn innova cross bây gi? là li?n kh?i c?,But Innova Cross now is unibody?,Toyota Innova,False,OK
5dc21c5c-cd4b-4c6f-9846-372a21e9ff19,0,Comfort & Space,Cabin Space,Positive,0.95,cho g? r?ng rãi,very spacious,Innova,False,OK
5dc21c5c-cd4b-4c6f-9846-372a21e9ff19,1,Powertrain / Performance,Engine Reliability,Positive,0.95,cái máy c?a nhà tô r?t b?n b? không h?ng v?t,"Toyota engine is very durable, no minor breakdowns",Innova,False,OK
d84a7c4d-7f5d-42dc-ada0-9a5ed21e9743,0,Other,General,Neutral,0.0,,,Innova,False,OK
657c01f4-7bd1-4dac-b127-6e0c277307ec,0,Other,General Impression,Positive,0.5,Nhi?u thông tin quá ch? thích coi c?a Tipcar. Tks ad,"Too much information, I only like to watch Tipcar's. Thanks admin",Limogreen,False,LOW_CONFIDENCE
1adb2222-eea3-4884-8ec9-5fc41df5ff5f,0,Powertrain / Performance,Transmission,Negative,0.9,H?p s? cvt thì không mê,CVT gearbox so not interested,Innova,False,OK
110b3a78-16ff-4987-8757-6fcb1d4a5fea,0,Other,General Impression,Positive,0.8,K?t e Innova này quá,I really like this Innova,Toyota Innova,True,OK
110b3a78-16ff-4987-8757-6fcb1d4a5fea,1,Value Perception,Price,Positive,0.9,giá quá h?p lý,price is very reasonable,Toyota Innova,True,OK
ec9eb051-8420-47df-a413-89a2329325be,0,Comfort & Space,Cabin Space,Negative,0.9,r?ng tho?i mái,spacious and comfortable,Honda CRV,False,MIXED_SENTIMENT
ec9eb051-8420-47df-a413-89a2329325be,1,Powertrain / Performance,Fuel Economy,Negative,0.9,ti?t ki?m,economical,Honda CRV,False,MIXED_SENTIMENT
ec9eb051-8420-47df-a413-89a2329325be,2,Comfort & Space,Suspension,Positive,0.9,treo c?ng h?n,stiffer suspension,Honda CRV,False,MIXED_SENTIMENT
ec9eb051-8420-47df-a413-89a2329325be,3,Powertrain / Performance,Handling,Positive,0.9,lái hay h?n,better driving,Honda CRV,False,MIXED_SENTIMENT
