record_id,aspect_index,category,parameter,sentiment,confidence,phrase_original,phrase_english,focus_model,is_wow_factor,review_flag
5f4e4bee-35f5-475f-9d16-16edc616e3d8,0,Styling / Design,Steering Wheel Design,Positive,0.9,stir nya mantabb pak,"the steering wheel is awesome, sir",BYD Atto 3,True,OK
07e14997-f2e8-4c35-b057-c5c7771241b4,0,New Tech,GPS Navigation,Neutral,0.8,Pengukuran speed dari GPS juga ada keterbatasan kepresisiannya,Speed measurement from GPS also has precision limitations,BYD Atto 3,False,OK
07e14997-f2e8-4c35-b057-c5c7771241b4,1,Safety & ADAS,Braking System,Neutral,0.7,perhitungan efektivitas fungsi ABS nya dari jarak dislatasi,calculation of ABS function effectiveness from stopping distance,BYD Atto 3,False,OK
7bd46da1-23cb-4f11-96e9-15bebf033f13,0,New Tech,GPS Navigation,Neutral,0.9,"akurasi GPS, biasanya antara 1,5 s/d 3 meter, bahkan bisa sampai 10 meter, tergantung pada solid/tidaknya sinyal satelit.","GPS accuracy, usually between 1.5 to 3 meters, can even reach 10 meters, depending on satellite signal strength.",BYD Atto 3,False,OK
94db834c-1e0d-4192-b373-a6cc0bb49b69,0,Other,Testing Methodology,Neutral,0.9,test berbagai mcm mobil perlu alat ukur yg konsisten,testing various cars needs consistent measuring tools,BYD Atto 3,False,OK
94db834c-1e0d-4192-b373-a6cc0bb49b69,1,Other,GPS Accuracy,Neutral,0.8,jika gps maka semua mobil yg di test harus alat gps yg sama,"if using GPS, all cars tested must use the same GPS device",BYD Atto 3,False,OK
94db834c-1e0d-4192-b373-a6cc0bb49b69,2,Other,Speedometer Accuracy,Neutral,0.8,"kalau berdasarkan spedo masing"" mobil, maka bias/eror nya jg berbeda""","if based on each car's speedometer, the bias/error will also differ",BYD Atto 3,False,OK
c6f27b81-e4b9-47ab-b1bf-7f20f0a799d0,0,Other,General Impression,Neutral,0.6,"paling akurat, ya menggunakan komputer pada balapan mobil F1 itu mas.","most accurate, yes using computers in F1 car racing, sir.",BYD Atto 3,False,LOW_CONFIDENCE
b6e3efc3-500e-43e8-bc61-5ee72b478347,0,Other,Horn,Neutral,0.8,"Kata kunci baru, ""klakson persahabatan""","New keyword, ""friendship horn""",BYD Atto 3,False,OK
1e00de64-4f41-4655-abd5-f88f384cbb93,0,Brand Perception,Brand Popularity,Positive,0.8,bnyak bgt mobil ini,a lot of this car,BYD Atto 3,False,OK
75e96719-238e-41f0-803f-b5afed1130a7,0,Other,General Impression,Positive,0.6,"Akhirnya yg di tunggu, keluar juga??.","Finally what we've been waiting for, it's out??.",BYD Atto 3,False,LOW_CONFIDENCE
a2305e6e-e662-456d-aba6-44faa13f39aa,0,Brand Perception,Brand Image,Positive,0.9,sempat diketawain om Elon karena Warren Buffett mau nginvest,once laughed at by Elon Musk because Warren Buffett wanted to invest,BYD Atto 3,False,OK
a2305e6e-e662-456d-aba6-44faa13f39aa,1,Other,General Impression,Positive,0.8,akhirnya siap mengaspal di Indonesia,finally ready to hit the roads in Indonesia,BYD Atto 3,False,OK
5d28bb61-9dc2-44f4-b1f0-093740ff6b57,0,Powertrain / Performance,One Pedal Driving,Negative,0.9,One pedal driving sangat tidak dianjurkan di China,One pedal driving is strongly not recommended in China,BYD Atto 3,False,OK
5d28bb61-9dc2-44f4-b1f0-093740ff6b57,1,Safety & ADAS,Braking System,Negative,0.8,muscle memory kaki untuk letak rem bisa hilang karena jarang menginjak rem,foot muscle memory for brake placement can be lost due to rarely pressing the brake,BYD Atto 3,False,OK
d90ad65a-5b91-41e6-84ad-6d47ff571f0e,0,Styling / Design,Exterior Design,Positive,0.95,HRV jd terlihat sgt kuno jika disandingkan dgn atto3 ini,HRV looks very outdated when compared to this Atto 3,BYD Atto 3,False,OK
c217aa01-2b22-4fca-9bcd-fce5b37b2e29,0,Safety & ADAS,Safety Features,Negative,0.8,alat keselamtannya bisa jd gk atif,safety features can become inactive,BYD Atto 3,False,OK
e8a3d663-b3c4-4c23-8f97-ee82c0e039f3,0,Value Perception,Fuel Cost Savings,Positive,0.9,cape beli bensin ya Alloh SWT... bensinnya juga banyak timbalnya,"tired of buying gasoline, the gasoline also has a lot of lead",BYD Atto 3,True,OK
e8a3d663-b3c4-4c23-8f97-ee82c0e039f3,1,Brand Perception,Brand Desire,Positive,0.8,"semoga bisa ganti mobil bensin saya, ke mobil BYD Atto 3",hopefully I can replace my gasoline car with a BYD Atto 3,BYD Atto 3,True,OK
3b644b69-cf90-453f-b477-77490db9f383,0,Styling / Design,Interior Design,Positive,0.9,Cakep banget interior nya,The interior is very cool,BYD Atto 3,True,OK
b580cfdb-f8b0-4a45-85f6-d701c5df4227,0,Styling / Design,Exterior Design,Positive,0.95,"designnya emang ga striking tapi cantikkkk, dr semua angle enak diliatnya","design is not striking but beautiful, looks good from all angles",BYD Atto 3,False,OK
b580cfdb-f8b0-4a45-85f6-d701c5df4227,1,Value Perception,Competitor Comparison,Positive,0.9,setelah lihat langsung antara Omode E5 vs Atto gw jauh lebih suka Atto designnya,"after seeing Omoda E5 vs Atto in person, I prefer Atto's design much more",BYD Atto 3,False,OK
9ddd7c7f-d7b7-4e84-8e81-7f55fa180eef,0,Other,General Impression,Neutral,0.6,Dikulitin abis2an ama bang fitra ??,Repeatedly asked by Mr. Fitra ??,BYD Atto 3,False,LOW_CONFIDENCE
a2349c38-22ed-4f74-b8cc-a65c60cb9f47,0,Styling / Design,Exterior Design,Positive,0.9,Sekilas memang atto lebih menarik,"At first glance, Atto is more attractive",BYD Atto 3,False,MIXED_SENTIMENT
a2349c38-22ed-4f74-b8cc-a65c60cb9f47,1,Comfort & Space,Ride Quality,Positive,0.9,kalo prioritas lebih ke kenyamanan penumpang sih jelas atto,"if priority is passenger comfort, clearly Atto",BYD Atto 3,False,MIXED_SENTIMENT
a2349c38-22ed-4f74-b8cc-a65c60cb9f47,2,Comfort & Space,Driver Comfort,Negative,0.8,"kalo prioritas kenyamanan saat nyetir, omoda udah pasti the best di kelasnya","if priority is driving comfort, Omoda is definitely the best in its class",BYD Atto 3,False,MIXED_SENTIMENT
a2349c38-22ed-4f74-b8cc-a65c60cb9f47,0,Styling / Design,Exterior Design,Negative,0.8,Sekilas memang atto lebih menarik,"At first glance, Atto is more attractive",Chery Omoda E5,False,MIXED_SENTIMENT
a2349c38-22ed-4f74-b8cc-a65c60cb9f47,1,Comfort & Space,Passenger Comfort,Negative,0.9,kalo prioritas lebih ke kenyamanan penumpang sih jelas atto,"if priority is passenger comfort, clearly Atto",Chery Omoda E5,False,MIXED_SENTIMENT
a2349c38-22ed-4f74-b8cc-a65c60cb9f47,2,Comfort & Space,Driving Comfort,Positive,0.9,"kalo prioritas kenyamanan saat nyetir, omoda udah pasti the best di kelasnya","if priority is driving comfort, Omoda is definitely the best in its class",Chery Omoda E5,False,MIXED_SENTIMENT
a2349c38-22ed-4f74-b8cc-a65c60cb9f47,3,Value Perception,Competitor Comparison,Positive,0.85,"setelah test drive, sy dealnya ke omoda e5","after test drive, I decided on Omoda E5",Chery Omoda E5,False,MIXED_SENTIMENT
1ada3ebe-64b4-4f1d-961a-a4284455b35f,0,Styling / Design,Exterior Design,Negative,0.9,"Atto 3 = 7 (biasa aja,)","Atto 3 = 7 (just ordinary,)",BYD Atto 3,False,OK
1ada3ebe-64b4-4f1d-961a-a4284455b35f,1,Styling / Design,Exterior Design,Negative,0.9,Omoda E5 = 9,Omoda E5 = 9,BYD Atto 3,False,OK
1ada3ebe-64b4-4f1d-961a-a4284455b35f,0,Styling / Design,Exterior Design,Positive,0.95,Omoda E5 = 9,Omoda E5 = 9,Chery Omoda E5,False,OK
1ada3ebe-64b4-4f1d-961a-a4284455b35f,1,Styling / Design,Exterior Design,Positive,0.9,"Atto 3 = 7 (biasa aja,)","Atto 3 = 7 (just ordinary,)",Chery Omoda E5,False,OK
b1052ab5-5a1d-4217-8fe9-430ecd400dc8,0,Other,General Impression,Neutral,0.6,kayak lu bisa desain aja??,as if you could design??,BYD Atto 3,False,LOW_CONFIDENCE
2d82cca5-e90c-423b-923a-1d373debf313,0,Brand Perception,Brand Image,Positive,0.9,BYD akan merajai mobil listrik di Indonesia,BYD will dominate electric cars in Indonesia,BYD Atto 3,True,OK
2d82cca5-e90c-423b-923a-1d373debf313,1,Brand Perception,Brand Trust,Positive,0.8,Bukan maen ini brand,This brand is no joke,BYD Atto 3,True,OK
8b9584b7-11a4-4f38-abfe-2697ff766b8f,0,Brand Perception,Country of Origin Image,Positive,0.8,dari china banyak orang belajar,from China many people learn,BYD Atto 3,False,OK
8b9584b7-11a4-4f38-abfe-2697ff766b8f,1,Value Perception,Competitor Comparison,Positive,0.7,"dikibulin jepang itu sakitnya tuh disini. Ibarat telur, HPP 1000 dijual 3500","being fooled by Japan hurts here. Like an egg, cost 1000 sold 3500",BYD Atto 3,False,OK
4ac24764-8ab9-4b1b-a263-4a88c2cbea05,0,Brand Perception,Brand Image,Positive,0.9,best EV car in the world,best EV car in the world,BYD Atto 3,True,OK
